Specie, Project, Run, Condition, Stress, Replicate, Level, Time, Cultivar, Tissue, Age/Dev-state, Genotype, Library
trae, PRJNA450866, SRR7031034, control, drought, 1, L.0, 0d, Chinese-Spring, leaves, D.0, G.0, single
trae, PRJNA450866, SRR7031037, control, drought, 3, L.0, 0d, Chinese-Spring, leaves, D.0, G.0, single
trae, PRJNA450866, SRR7031039, control, drought, 2, L.0, 0d, Chinese-Spring, leaves, D.0, G.0, single
trae, PRJNA450866, SRR7031043, control, drought, 1, L.0, 0d, Chinese-Spring, leaves, D.0, G.0, single
trae, PRJNA450866, SRR7031046, treated, drought, 3, 37°C, 0d, Chinese-Spring, leaves, D.0, G.0, single
trae, PRJNA450866, SRR7031049, treated, drought, 2, 37°C, 0d, Chinese-Spring, leaves, D.0, G.0, single
trae, PRJNA450866, SRR7031052, treated, drought, 1, 37°C, 0d, Chinese-Spring, leaves, D.0, G.0, single
trae, PRJNA450866, SRR7031054, treated, drought, 3, 37°C, 0d, Chinese-Spring, leaves, D.0, G.0, single
trae, PRJNA450866, SRR7031058, control, drought, 3, L.0, 1d, Chinese-Spring, leaves, D.0, G.0, single
trae, PRJNA450866, SRR7031060, control, drought, 2, L.0, 1d, Chinese-Spring, leaves, D.0, G.0, single
trae, PRJNA450866, SRR7031064, control, drought, 2, L.0, 1d, Chinese-Spring, leaves, D.0, G.0, single
trae, PRJNA450866, SRR7031067, control, drought, 1, L.0, 1d, Chinese-Spring, leaves, D.0, G.0, single
trae, PRJNA450866, SRR7031069, treated, drought, 3, 37°C, 1d, Chinese-Spring, leaves, D.0, G.0, single
trae, PRJNA450866, SRR7031074, treated, drought, 2, 37°C, 1d, Chinese-Spring, leaves, D.0, G.0, single
trae, PRJNA450866, SRR7031075, treated, drought, 1, 37°C, 1d, Chinese-Spring, leaves, D.0, G.0, single
trae, PRJNA450866, SRR7031078, treated, drought, 3, 37°C, 1d, Chinese-Spring, leaves, D.0, G.0, single
trae, PRJNA450866, SRR7031081, control, drought, 2, L.0, 4d, Chinese-Spring, leaves, D.0, G.0, single
trae, PRJNA450866, SRR7031085, control, drought, 1, L.0, 4d, Chinese-Spring, leaves, D.0, G.0, single
trae, PRJNA450866, SRR7031088, control, drought, 1, L.0, 4d, Chinese-Spring, leaves, D.0, G.0, single
trae, PRJNA450866, SRR7031090, control, drought, 3, L.0, 4d, Chinese-Spring, leaves, D.0, G.0, single
trae, PRJNA450866, SRR7031093, treated, drought, 3, 37°C, 4d, Chinese-Spring, leaves, D.0, G.0, single
trae, PRJNA450866, SRR7031097, treated, drought, 2, 37°C, 4d, Chinese-Spring, leaves, D.0, G.0, single
trae, PRJNA450866, SRR7031100, treated, drought, 2, 37°C, 4d, Chinese-Spring, leaves, D.0, G.0, single
trae, PRJNA450866, SRR7031102, treated, drought, 1, 37°C, 4d, Chinese-Spring, leaves, D.0, G.0, single
