Specie, Project, Run, Condition, Stress, Replicate, Level, Time, Cultivar, Tissue, Age/Dev-state, Genotype, Library
cume, SIMPLEPROJECTS, sample01, control, agrobacterium:cold:drought:hsvd:monosporascus:salt:shortday, 1, L.0, Time1, PielDeSapo, leaves, D.0, G.0, single
cume, SIMPLEPROJECTS, sample02, control, agrobacterium:cold:drought:hsvd:monosporascus:salt:shortday, 2, L.0, Time1, PielDeSapo, leaves, D.0, G.0, single
cume, SIMPLEPROJECTS, sample03, control, agrobacterium:cold:drought:hsvd:monosporascus:salt:shortday, 3, L.0, Time1, PielDeSapo, leaves, D.0, G.0, single
cume, SIMPLEPROJECTS, sample04, treated, cold, 1, L.0, Time1, PielDeSapo, leaves, D.0, G.0, single
cume, SIMPLEPROJECTS, sample05, treated, cold, 2, L.0, Time1, PielDeSapo, leaves, D.0, G.0, single
cume, SIMPLEPROJECTS, sample06, treated, cold, 3, L.0, Time1, PielDeSapo, leaves, D.0, G.0, single
cume, SIMPLEPROJECTS, sample07, treated, drought, 1, L.0, Time1, PielDeSapo, leaves, D.0, G.0, single
cume, SIMPLEPROJECTS, sample08, treated, drought, 2, L.0, Time1, PielDeSapo, leaves, D.0, G.0, single
cume, SIMPLEPROJECTS, sample09, treated, drought, 3, L.0, Time1, PielDeSapo, leaves, D.0, G.0, single
cume, SIMPLEPROJECTS, sample10, treated, salt, 1, L.0, Time1, PielDeSapo, leaves, D.0, G.0, single
cume, SIMPLEPROJECTS, sample11, treated, salt, 2, L.0, Time1, PielDeSapo, leaves, D.0, G.0, single
cume, SIMPLEPROJECTS, sample12, treated, salt, 3, L.0, Time1, PielDeSapo, leaves, D.0, G.0, single
cume, SIMPLEPROJECTS, sample13, treated, shortday, 1, L.0, Time1, PielDeSapo, leaves, D.0, G.0, single
cume, SIMPLEPROJECTS, sample14, treated, shortday, 2, L.0, Time1, PielDeSapo, leaves, D.0, G.0, single
cume, SIMPLEPROJECTS, sample15, treated, shortday, 3, L.0, Time1, PielDeSapo, leaves, D.0, G.0, single
cume, SIMPLEPROJECTS, sample16, treated, hsvd, 1, L.0, Time1, PielDeSapo, leaves, D.0, G.0, single
cume, SIMPLEPROJECTS, sample17, treated, hsvd, 2, L.0, Time1, PielDeSapo, leaves, D.0, G.0, single
cume, SIMPLEPROJECTS, sample18, treated, hsvd, 3, L.0, Time1, PielDeSapo, leaves, D.0, G.0, single
cume, SIMPLEPROJECTS, sample19, treated, monosporascus, 1, L.0, Time1, PielDeSapo, leaves, D.0, G.0, single
cume, SIMPLEPROJECTS, sample20, treated, monosporascus, 2, L.0, Time1, PielDeSapo, leaves, D.0, G.0, single
cume, SIMPLEPROJECTS, sample21, treated, monosporascus, 3, L.0, Time1, PielDeSapo, leaves, D.0, G.0, single
cume, SIMPLEPROJECTS, sample22, treated, agrobacterium, 1, L.0, Time1, PielDeSapo, leaves, D.0, G.0, single
cume, SIMPLEPROJECTS, sample23, treated, agrobacterium, 2, L.0, Time1, PielDeSapo, leaves, D.0, G.0, single
cume, SIMPLEPROJECTS, sample24, treated, agrobacterium, 3, L.0, Time1, PielDeSapo, leaves, D.0, G.0, single
cume, SIMPLEPROJECTS, sample25, control, agrobacterium:cold:drought:hsvd:monosporascus:salt:shortday, 1, L.0, Time2, PielDeSapo, leaves, D.0, G.0, single
